x,y,lon,lat,conc
527100,187600,-0.16734710008727086,51.57295203364166,23.24313
527120,187600,-0.16705865899288116,51.57294753092375,23.22497
527140,187600,-0.16677021797338248,51.57294302749702,23.24438
526960,187580,-0.16937341646508286,51.572803813792895,23.60506
526980,187580,-0.16908497426701066,51.57279931171546,23.17275
527000,187580,-0.16879653214448775,51.57279480893072,22.61502
527020,187580,-0.168508090097527,51.57279030543874,22.35637
527040,187580,-0.16821964828201078,51.57278580163517,22.25047
527060,187580,-0.1679312080958966,51.57278130106916,22.11295
527080,187580,-0.1676427679846386,51.57277679979436,22.00756
527100,187580,-0.16735432794824665,51.57277229781076,21.94974
527120,187580,-0.16706588798673386,51.57276779511837,21.94485
527140,187580,-0.16677744810011094,51.57276329171716,21.98402
527160,187580,-0.16648900828839092,51.57275878760717,22.12106
527180,187580,-0.16620056855158408,51.572754282788374,22.48066
527500,187580,-0.16158554296054853,51.572682109291634,25.71685
527520,187580,-0.16129710449907358,51.57267759242337,22.838
527540,187580,-0.16100866611272419,51.5726730748463,22.50172
527560,187580,-0.1607202278015106,51.57266855656045,22.27069
527580,187580,-0.16043178956544668,51.572664037565794,22.21789
527600,187580,-0.16014335140454272,51.572659517862355,22.51002
526900,187560,-0.17024595991020897,51.57263757958703,23.31738
526920,187560,-0.1699575186332175,51.57263307968738,22.59138
526940,187560,-0.16966907743173923,51.57262857908046,22.26121
526960,187560,-0.16938063630578573,51.57262407776626,22.0819
526980,187560,-0.16909219525536906,51.57261957574479,21.95303
527000,187560,-0.16880375428050132,51.572615073016074,21.85091
527020,187560,-0.16851531338119372,51.57261056958008,21.77588
527040,187560,-0.16822687266947206,51.57260606572165,21.72419
527060,187560,-0.1679384336162261,51.572601565181145,21.68273
527080,187560,-0.1676499946378355,51.572597063931866,21.65113
527100,187560,-0.1673615557343094,51.57259256197378,21.63969
527120,187560,-0.16707311690566243,51.57258805930689,21.66021
527140,187560,-0.16678467815190373,51.57258355593121,21.72635
527160,187560,-0.16649623947304673,51.57257905184675,21.97871
527180,187560,-0.16620780086910256,51.57257454705349,22.14315
527200,187560,-0.16591936234008348,51.57257004155145,22.43427
527220,187560,-0.1656309238860006,51.5725655353406,22.03891
527240,187560,-0.16534248550686495,51.572561028420964,22.43475
527260,187560,-0.16505404720268926,51.57255652079255,22.47967
527280,187560,-0.1647656089734858,51.57255201245533,23.19846
527380,187560,-0.16332341895245037,51.57252946013742,26.86489
527400,187560,-0.16303498117332269,51.57252494754747,23.30621
527420,187560,-0.1627465434692484,51.57252043424874,22.94335
527440,187560,-0.16245810584023865,51.572515920241216,22.53912
527460,187560,-0.16216966828630688,51.57251140552491,22.30007
527480,187560,-0.16188123080746417,51.57250689009981,22.15014
527500,187560,-0.16159279340372165,51.57250237396593,21.99743
527520,187560,-0.16130435607509114,51.57249785712327,21.85778
527540,187560,-0.16101591882158536,51.57249333957181,21.76432
527560,187560,-0.160727481643215,51.57248882131157,21.71423
527580,187560,-0.16043904453999233,51.57248430234255,21.71419
527600,187560,-0.16015060751192883,51.57247978266474,21.78753
527620,187560,-0.15986217055903643,51.57247526227816,21.97294
527640,187560,-0.15957373368132655,51.572470741182784,22.46651
526840,187540,-0.17111849707338933,51.5724713386723,29.35508
526860,187540,-0.17083005671758042,51.57246684095041,23.44392
526880,187540,-0.17054161643724805,51.572462342521256,22.59813
526900,187540,-0.17025317623240352,51.572457843384846,22.20518
526920,187540,-0.16996473610305923,51.57245334354116,21.97461
526940,187540,-0.1696762960492265,51.57244884299022,21.82486
526960,187540,-0.1693878560709185,51.572444341732016,21.72538
526980,187540,-0.16909941616814536,51.572439839766545,21.65458
527000,187540,-0.16881097634092074,51.57243533709381,21.6016
527020,187540,-0.16852253658925548,51.57243083371381,21.56218
527040,187540,-0.1682340969820576,51.57242632980205,21.53395
527060,187540,-0.16794565906166872,51.57242182928706,21.5146
527080,187540,-0.16765722121613325,51.572417328063274,21.50618
527100,187540,-0.16736878344546183,51.5724128261307,21.52017
527120,187540,-0.1670803457496684,51.57240832348934,21.57853
527140,187540,-0.16679190812876205,51.57240382013919,21.98028
527160,187540,-0.1665034705827566,51.572399316080265,21.72916
527180,187540,-0.16621503311166239,51.57239481131254,21.74714
527200,187540,-0.16592659571549287,51.57239030583603,21.78006
527220,187540,-0.16563815839425797,51.572385799650725,21.72285
527240,187540,-0.1653497211479703,51.57238129275664,21.88406
527260,187540,-0.16506128397664102,51.57237678515377,21.88142
527280,187540,-0.16477284688028238,51.572372276842124,22.03272
527300,187540,-0.16448440985890664,51.57236776782167,22.12915
527320,187540,-0.16419597291252414,51.572363258092444,22.06311
527340,187540,-0.16390753604114713,51.57235874765442,22.03454
527360,187540,-0.1636190992447883,51.572354236507636,22.02019
527380,187540,-0.16333066252345793,51.57234972465205,21.98453
527400,187540,-0.1630422258771695,51.5723452120877,21.90613
527420,187540,-0.1627537893059329,51.57234069881454,21.82539
527440,187540,-0.16246535280976082,51.57233618483262,21.75228
527460,187540,-0.16217691638866474,51.57233167014191,21.69202
527480,187540,-0.16188848004265696,51.57232715474241,21.64022
