x,y,lon,lat,conc
527100,187600,-0.16734710008727086,51.57295203364166,9.402716
527120,187600,-0.16705865899288116,51.57294753092375,9.398474
527140,187600,-0.16677021797338248,51.57294302749702,9.403721
526960,187580,-0.16937341646508286,51.572803813792895,9.48081
526980,187580,-0.16908497426701066,51.57279931171546,9.383275
527000,187580,-0.16879653214448775,51.57279480893072,9.258532
527020,187580,-0.168508090097527,51.57279030543874,9.202315
527040,187580,-0.16821964828201078,51.57278580163517,9.184387
527060,187580,-0.1679312080958966,51.57278130106916,9.150801
527080,187580,-0.1676427679846386,51.57277679979436,9.124769
527100,187580,-0.16735432794824665,51.57277229781076,9.111721
527120,187580,-0.16706588798673386,51.57276779511837,9.111905
527140,187580,-0.16677744810011094,51.57276329171716,9.122756
527160,187580,-0.16648900828839092,51.57275878760717,9.159562
527180,187580,-0.16620056855158408,51.572754282788374,9.247581
527500,187580,-0.16158554296054853,51.572682109291634,9.992134
527520,187580,-0.16129710449907358,51.57267759242337,9.321688
527540,187580,-0.16100866611272419,51.5726730748463,9.237529
527560,187580,-0.1607202278015106,51.57266855656045,9.18393
527580,187580,-0.16043178956544668,51.572664037565794,9.172147
527600,187580,-0.16014335140454272,51.572659517862355,9.239538
526900,187560,-0.17024595991020897,51.57263757958703,9.415421
526920,187560,-0.1699575186332175,51.57263307968738,9.251505
526940,187560,-0.16966907743173923,51.57262857908046,9.177446
526960,187560,-0.16938063630578573,51.57262407776626,9.13741
526980,187560,-0.16909219525536906,51.57261957574479,9.108826
527000,187560,-0.16880375428050132,51.572615073016074,9.08648
527020,187560,-0.16851531338119372,51.57261056958008,9.070438
527040,187560,-0.16822687266947206,51.57260606572165,9.059585
527060,187560,-0.1679384336162261,51.572601565181145,9.050372
527080,187560,-0.1676499946378355,51.572597063931866,9.043888
527100,187560,-0.1673615557343094,51.57259256197378,9.042664
527120,187560,-0.16707311690566243,51.57258805930689,9.052011
527140,187560,-0.16678467815190373,51.57258355593121,9.073304
527160,187560,-0.16649623947304673,51.57257905184675,9.123542
527180,187560,-0.16620780086910256,51.57257454705349,9.158648
527200,187560,-0.16591936234008348,51.57257004155145,9.221022
527220,187560,-0.1656309238860006,51.5725655353406,9.145029
527240,187560,-0.16534248550686495,51.572561028420964,9.23092
527260,187560,-0.16505404720268926,51.57255652079255,9.244723
527280,187560,-0.1647656089734858,51.57255201245533,9.402164
527380,187560,-0.16332341895245037,51.57252946013742,10.23279
527400,187560,-0.16303498117332269,51.57252494754747,9.417791
527420,187560,-0.1627465434692484,51.57252043424874,9.348524
527440,187560,-0.16245810584023865,51.572515920241216,9.24334
527460,187560,-0.16216966828630688,51.57251140552491,9.187062
527480,187560,-0.16188123080746417,51.57250689009981,9.152515
527500,187560,-0.16159279340372165,51.57250237396593,9.117693
527520,187560,-0.16130435607509114,51.57249785712327,9.086527
527540,187560,-0.16101591882158536,51.57249333957181,9.065656
527560,187560,-0.160727481643215,51.57248882131157,9.054688
527580,187560,-0.16043904453999233,51.57248430234255,9.055326
527600,187560,-0.16015060751192883,51.57247978266474,9.072824
527620,187560,-0.15986217055903643,51.57247526227816,9.115884
527640,187560,-0.15957373368132655,51.572470741182784,9.22963
526840,187540,-0.17111849707338933,51.5724713386723,10.90421
526860,187540,-0.17083005671758042,51.57246684095041,9.450325
526880,187540,-0.17054161643724805,51.572462342521256,9.253961
526900,187540,-0.17025317623240352,51.572457843384846,9.164893
526920,187540,-0.16996473610305923,51.57245334354116,9.112954
526940,187540,-0.1696762960492265,51.57244884299022,9.079351
526960,187540,-0.1693878560709185,51.572444341732016,9.057137
526980,187540,-0.16909941616814536,51.572439839766545,9.041446
527000,187540,-0.16881097634092074,51.57243533709381,9.029862
527020,187540,-0.16852253658925548,51.57243083371381,9.021396
527040,187540,-0.1682340969820576,51.57242632980205,9.015497
527060,187540,-0.16794565906166872,51.57242182928706,9.011733
527080,187540,-0.16765722121613325,51.572417328063274,9.011481
527100,187540,-0.16736878344546183,51.5724128261307,9.017764
527120,187540,-0.1670803457496684,51.57240832348934,9.033854
527140,187540,-0.16679190812876205,51.57240382013919,9.118527
527160,187540,-0.1665034705827566,51.572399316080265,9.089256
527180,187540,-0.16621503311166239,51.57239481131254,9.074614
527200,187540,-0.16592659571549287,51.57239030583603,9.084137
527220,187540,-0.16563815839425797,51.572385799650725,9.076617
527240,187540,-0.1653497211479703,51.57238129275664,9.118005
527260,187540,-0.16506128397664102,51.57237678515377,9.128469
527280,187540,-0.16477284688028238,51.572372276842124,9.166097
527300,187540,-0.16448440985890664,51.57236776782167,9.1591
527320,187540,-0.16419597291252414,51.572363258092444,9.137766
527340,187540,-0.16390753604114713,51.57235874765442,9.12608
527360,187540,-0.1636190992447883,51.572354236507636,9.120735
527380,187540,-0.16333066252345793,51.57234972465205,9.11219
527400,187540,-0.1630422258771695,51.5723452120877,9.094981
527420,187540,-0.1627537893059329,51.57234069881454,9.076843
527440,187540,-0.16246535280976082,51.57233618483262,9.059646
527460,187540,-0.16217691638866474,51.57233167014191,9.045375
527480,187540,-0.16188848004265696,51.57232715474241,9.033169
527500,187540,-0.1616000437717485,51.57232263863414,9.021554
527520,187540,-0.16131160757595092,51.57231812181708,9.012536
527540,187540,-0.1610231714552769,51.57231360429124,9.005946
527560,187540,-0.16073473540973787,51.57230908605663,9.003306
527580,187540,-0.16044629943934416,51.57230456711324,9.005625
527600,187540,-0.16015786354411005,51.572300047461056,9.014665
527620,187540,-0.15986942772404497,51.572295527100096,9.033123
527640,187540,-0.1595809919791621,51.57229100603036,9.067613
527660,187540,-0.15929255630947284,51.572286484251855,9.142572
526820,187520,-0.1714141491607719,51.57229609925325,9.838362
526840,187520,-0.17112570987713846,51.572291602294605,9.439156
526860,187520,-0.1708372706689671,51.57228710462867,9.236914
526880,187520,-0.17054883153627187,51.5722826062555,9.143816
526900,187520,-0.17026039247906405,51.57227810717505,9.092436
526920,187520,-0.16997195349735528,51.57227360738735,9.059511
526940,187520,-0.16968351459115685,51.57226910689238,9.037358
526960,187520,-0.1693950757604812,51.57226460569017,9.021999
526980,187520,-0.16910663700534118,51.57226010378069,9.011154
527000,187520,-0.16881819832574646,51.57225560116395,9.003401
527020,187520,-0.16852975972171153,51.57225109783996,8.998089
527040,187520,-0.16824132121976815,51.572246593876386,8.994846
527060,187520,-0.1679528844322241,51.5722420933869,8.993937
527080,187520,-0.16766444771953218,51.57223759218862,8.999921
527100,187520,-0.16737601108170364,51.57223309028158,9.046357
527120,187520,-0.1670875745187518,51.57222858766573,9.09336
527140,187520,-0.16679913803068627,51.57222408434111,9.071391
527160,187520,-0.1665107016175205,51.5722195803077,9.148915
527180,187520,-0.16622226527926515,51.57221507556551,9.125031
527200,187520,-0.1659338290159329,51.57221057011454,9.07638
527220,187520,-0.16564539282753524,51.57220606395478,9.054472
527240,187520,-0.1653569567140825,51.572201557086245,9.080352
527260,187520,-0.16506852067558772,51.57219704950893,9.064131
527280,187520,-0.16478008471206276,51.57219254122282,9.117872
527300,187520,-0.16449164882351916,51.572188032227956,9.069011
527320,187520,-0.16420321300996918,51.57218352252428,9.044993
527340,187520,-0.16391477727142229,51.57217901211184,9.031057
527360,187520,-0.16362634160789283,51.57217450099061,9.024704
527380,187520,-0.163337906019391,51.572169989160614,9.018916
527400,187520,-0.16304947050592955,51.57216547662184,9.012262
527420,187520,-0.16276103506751952,51.57216096337427,9.004962
527440,187520,-0.16247259970417244,51.572156449417946,8.997726
527460,187520,-0.16218416441590136,51.572151934752824,8.991324
527480,187520,-0.16189572920271617,51.57214741937894,8.985538
527500,187520,-0.1616072940646303,51.57214290329627,8.980081
527520,187520,-0.16131885900165419,51.572138386504825,8.977073
527540,187520,-0.16103042401379958,51.57213386900461,8.97513
527560,187520,-0.16074198910107962,51.5721293507956,8.975355
527580,187520,-0.16045355426350497,51.57212483187783,8.978081
527600,187520,-0.1601651195010867,51.57212031225129,8.984199
527620,187520,-0.15987668481383832,51.572115791915955,8.994649
527640,187520,-0.1595882502017705,51.572111270871865,9.011551
527660,187520,-0.15929981566489473,51.572106749119,9.039185
527680,187520,-0.15901138120322292,51.57210222665735,9.080703
527700,187520,-0.1587229468167677,51.57209770348693,9.129628
527720,187520,-0.15843451250554022,51.572093179607755,9.18952
527740,187520,-0.1581460782695515,51.57208865501978,9.245526
